item_id,section,block,block_title,group,text,pitch,pitch_level,energy,note,suggest_male,suggest_female,filename_base,take,status,comment
A001,گفتار,A,کالیبراسیون,,سکوت کامل — ۱۵ ثانیه، بدون حرکت، بدون نفس نزدیک میکروفن,,,,پروفایل نویز اتاق. برای نویزگیریِ بعدی لازم است. این فایل را هرگز پاک نکنید.,,,SPK01_M_S_A_001,,,
A002,گفتار,A,کالیبراسیون,,شمردن از یک تا بیست، با صدای کاملاً عادی,,,,اینجا gain را تنظیم کنید.,,,SPK01_M_S_A_002,,,
A003,گفتار,A,کالیبراسیون,,شمردن معکوس از بیست تا یک، آرام و شمرده,,,,بررسی یکنواختی سطح.,,,SPK01_M_S_A_003,,,
A004,گفتار,A,کالیبراسیون,,الفبای فارسی، حرف به حرف، با مکث کوتاه بین هر حرف,,,,پوشش پایهٔ واجی.,,,SPK01_M_S_A_004,,,
A005,گفتار,A,کالیبراسیون,,«آهای! صدای من رو می‌شنوی؟» — با تمام قدرت,,,,تست هدروم. اگر کلیپ شد، gain را کم کنید و A002 را دوباره بگیرید.,,,SPK01_M_S_A_005,,,
A006,گفتار,A,کالیبراسیون,,«باورم نمی‌شود این اتفاق افتاده باشد.» — کاملاً خنثی,,,,جملهٔ مرجع. در هر دو جلسه این جمله را در ابتدا و انتها بگویید — معیار سنجش خستگی صدا و تغییر تنظیمات است.,,,SPK01_M_S_A_006,,,
B001,گفتار,B,پوشش واجی,قاف — پرتکرارترین واجی که مدل‌های انگلیسی‌محور خرابش می‌کنند,قاسم قول داد قبل از ظهر قرارداد را امضا کند.,,,,ق در آغاز و میان کلمه,,,SPK01_M_S_B_001,,,
B002,گفتار,B,پوشش واجی,قاف — پرتکرارترین واجی که مدل‌های انگلیسی‌محور خرابش می‌کنند,این قفل قدیمی آن‌قدر زنگ زده که هیچ کلیدی قبولش نمی‌کند.,,,,ق پیاپی,,,SPK01_M_S_B_002,,,
B003,گفتار,B,پوشش واجی,قاف — پرتکرارترین واجی که مدل‌های انگلیسی‌محور خرابش می‌کنند,قایق وسط دریا واژگون شد و قایقران فریاد زد.,,,,ق + ژ,,,SPK01_M_S_B_003,,,
B004,گفتار,B,پوشش واجی,قاف — پرتکرارترین واجی که مدل‌های انگلیسی‌محور خرابش می‌کنند,حق با توست، ولی وقت اثباتش الان نیست.,,,,ق پایانی و در خوشه,,,SPK01_M_S_B_004,,,
B005,گفتار,B,پوشش واجی,قاف — پرتکرارترین واجی که مدل‌های انگلیسی‌محور خرابش می‌کنند,عقربه‌های ساعت روی دقیقهٔ چهل و پنج قفل شده بودند.,,,,ق میان‌واژه + ع,,,SPK01_M_S_B_005,,,
B006,گفتار,B,پوشش واجی,غین,غروب که شد، غم عجیبی به دلش چنگ زد.,,,,غ آغازین,,,SPK01_M_S_B_006,,,
B007,گفتار,B,پوشش واجی,غین,مرغ‌ها را در باغ رها کرد و بی‌خداحافظی رفت.,,,,غ پایانی,,,SPK01_M_S_B_007,,,
B008,گفتار,B,پوشش واجی,غین,دروغ گفتن هیچ‌وقت هیچ مشکلی را حل نکرده.,,,,غ + ه,,,SPK01_M_S_B_008,,,
B009,گفتار,B,پوشش واجی,غین,چراغ اتاق را روشن بگذار، تاریکی را دوست ندارم.,,,,غ در پایان هجا,,,SPK01_M_S_B_009,,,
B010,گفتار,B,پوشش واجی,غین,مغازه‌دار با اخم به کاغذ نگاه کرد و سرش را تکان داد.,,,,غ میانی، سه بار,,,SPK01_M_S_B_010,,,
